artist,song,lyric_corpus,sentiment
MSG워너비(M.O.M),듣고 싶을까,누굴 만나 봐도 다시는 못할 것 같아,기쁨
MSG워너비(M.O.M),듣고 싶을까,이게 내 진심인 걸 꼭 알아줬음 해,분노
MSG워너비(M.O.M),듣고 싶을까,우리 함께 듣던 그 노랠 듣고 싶을까,기쁨
MSG워너비(M.O.M),듣고 싶을까,천천히 대답해도 돼,기쁨
MSG워너비(M.O.M),듣고 싶을까,듣고 나서 잠시 날 생각은 할까,기쁨
MSG워너비(M.O.M),듣고 싶을까,몇 년째 나의,분노
MSG워너비(M.O.M),듣고 싶을까,넌 내 목소리가 듣고 싶을까,기쁨
MSG워너비(M.O.M),듣고 싶을까,뻔하디 뻔한 노랫말 여서 미안해,기쁨
MSG워너비(M.O.M),듣고 싶을까,난 왜 니 목소리가 듣고 싶을까,기쁨
MSG워너비(M.O.M),듣고 싶을까,말없이 다 전해지는 건 없지 난 말해 지금,기쁨
MSG워너비(M.O.M),듣고 싶을까,못난 내 목소리가 듣고 싶을까,기쁨
MSG워너비(M.O.M),듣고 싶을까,아주 혹시라도 넌 내가 보고 싶을까,슬픔
MSG워너비(M.O.M),듣고 싶을까,미안해도 부디 넌 꼭 들어줬음 해,기쁨
MSG워너비(M.O.M),듣고 싶을까,무엇도 달라질 건 없지만,분노
MSG워너비(M.O.M),듣고 싶을까,그립고 또 그립다 우리 그 사랑,기쁨
케이시 (Kassy),언제나 사랑해,마주 보며 또 웃을 때,기쁨
케이시 (Kassy),언제나 사랑해,열이 나고 아파할 때,분노
케이시 (Kassy),언제나 사랑해,다시 태어난대도,불안
케이시 (Kassy),언제나 사랑해,내 입가에 늘 환한 미소만이,기쁨
케이시 (Kassy),언제나 사랑해,집에 돌아오는 길에,기쁨
케이시 (Kassy),언제나 사랑해,먼 훗날 아주 먼 훗날,기쁨
케이시 (Kassy),언제나 사랑해,보석보다 네가 더 소중해,분노
케이시 (Kassy),언제나 사랑해,미운 나의 손을 잡아줄 사람,기쁨
케이시 (Kassy),언제나 사랑해,저기 밤하늘의 별보다,불안
케이시 (Kassy),언제나 사랑해,옆에서 늘 힘이 돼준 사람 너야,기쁨
케이시 (Kassy),언제나 사랑해,세월 지나 많이 변했을 때,슬픔
케이시 (Kassy),언제나 사랑해,사랑해 나만의 사랑,기쁨
케이시 (Kassy),언제나 사랑해,얼마나 내가 얼마나 너를 사랑하는지,상처
케이시 (Kassy),언제나 사랑해,내 귓가엔 늘 너의 음성만이,기쁨
케이시 (Kassy),언제나 사랑해,널 만나러 가는 길에,기쁨
케이시 (Kassy),언제나 사랑해,우리 눈 감는 그날에,기쁨
케이시 (Kassy),언제나 사랑해,속상하고 힘이 들 때,분노
케이시 (Kassy),언제나 사랑해,후회는 없다고,기쁨
케이시 (Kassy),언제나 사랑해,눈물 나도록 사랑해,슬픔
케이시 (Kassy),언제나 사랑해,사랑한다 말하지 않아도 알아,기쁨
케이시 (Kassy),언제나 사랑해,사랑해 너를 사랑해,기쁨
케이시 (Kassy),언제나 사랑해,둘이 손잡고 걸을 때,기쁨
케이시 (Kassy),언제나 사랑해,나를 사랑해 준 너에게 고맙다고,슬픔
케이시 (Kassy),언제나 사랑해,영원히 너를 사랑해,기쁨
케이시 (Kassy),언제나 사랑해,내 모든 걸 너에게 줄게,기쁨
케이시 (Kassy),언제나 사랑해,내 사랑은 너 하나뿐야,기쁨
케이시 (Kassy),언제나 사랑해,흐르고 있어,기쁨
경서,밤하늘의 별을(2020),더 소중하니까,분노
경서,밤하늘의 별을(2020),숨이 가득 차올라서,기쁨
경서,밤하늘의 별을(2020),아무 말 하지 못했는데,슬픔
경서,밤하늘의 별을(2020),나나나 난난 난난나,슬픔
경서,밤하늘의 별을(2020),나를 아껴줘 이제부터,슬픔
경서,밤하늘의 별을(2020),그저 내 곁에만 있어줘,기쁨
경서,밤하늘의 별을(2020),외치고 싶어,기쁨
경서,밤하늘의 별을(2020),내 모든 걸 다 준대도,기쁨
경서,밤하늘의 별을(2020),오직 너 아니면 안 된다고,슬픔
경서,밤하늘의 별을(2020),널 좋아하는 내 마음이 표현이 안 돼,기쁨
경서,밤하늘의 별을(2020),두 번 다시 울지 않을래,기쁨
경서,밤하늘의 별을(2020),외치고 싶어 그저,기쁨
경서,밤하늘의 별을(2020),너는 내가 사랑하니까,분노
경서,밤하늘의 별을(2020),참 많이 어색했었죠 널 처음 만난 날,기쁨
경서,밤하늘의 별을(2020),너를 만나서 행복하고 싶어,분노
경서,밤하늘의 별을(2020),너에겐 아깝질 않아,분노
경서,밤하늘의 별을(2020),내 곁에만 있어줘,기쁨
경서,밤하늘의 별을(2020),너는 말 없이 웃으며 내 손 잡아줬죠,분노
경서,밤하늘의 별을(2020),멀리서 좋아하다가 들킨 사람처럼,기쁨
경서,밤하늘의 별을(2020),오직 내 눈에는 너만 보여,슬픔
경서,밤하늘의 별을(2020),혼자가 아니야 우린 함께니까,기쁨
경서,밤하늘의 별을(2020),밤하늘의 별을 따서 너에게 줄래,기쁨
경서,밤하늘의 별을(2020),떠나지 말아줘,기쁨
경서,밤하늘의 별을(2020),많고 많은 사람 중에,분노
경서,밤하늘의 별을(2020),이 순간이 영원하길 난 정말 행복해,분노
경서,밤하늘의 별을(2020),꿈이 아니면 좋겠어 자꾸 웃음 나와,분노
경서,밤하늘의 별을(2020),나 나나나 난난 난난나 나나난나,슬픔
이무진,눈이 오잖아(Feat.헤이즈),그저 바라봐 그때 마침,기쁨
이무진,눈이 오잖아(Feat.헤이즈),내렸던 그 눈이 오지만,기쁨
이무진,눈이 오잖아(Feat.헤이즈),버려야만 해,기쁨
이무진,눈이 오잖아(Feat.헤이즈),남아있는 게 맞지만,기쁨
이무진,눈이 오잖아(Feat.헤이즈),지금 눈이 오잖아,분노
이무진,눈이 오잖아(Feat.헤이즈),우린 이젠 없으니까,기쁨
이무진,눈이 오잖아(Feat.헤이즈),돌아온 계절,분노
이무진,눈이 오잖아(Feat.헤이즈),첫눈이 오잖아,분노
이무진,눈이 오잖아(Feat.헤이즈),내 이별의 숙제,기쁨
이무진,눈이 오잖아(Feat.헤이즈),그때 내가 밤하늘 내린,기쁨
이무진,눈이 오잖아(Feat.헤이즈),주머니 속 챙겨 나온 기억,기쁨
이무진,눈이 오잖아(Feat.헤이즈),나갈 수 없어 난,슬픔
이무진,눈이 오잖아(Feat.헤이즈),찬바람 막아줄,기쁨
이무진,눈이 오잖아(Feat.헤이즈),하얀 눈 예쁘다 했잖아,분노
이무진,눈이 오잖아(Feat.헤이즈),눈이 오잖아,슬픔
이무진,눈이 오잖아(Feat.헤이즈),우린 이대로의 모습으로,기쁨
이무진,눈이 오잖아(Feat.헤이즈),추억을 지우는 게,기쁨
이무진,눈이 오잖아(Feat.헤이즈),그 눈이 오잖아,기쁨
이무진,눈이 오잖아(Feat.헤이즈),않을 리가 없잖아,슬픔
이무진,눈이 오잖아(Feat.헤이즈),곁에 아무도 없을 때,기쁨
이무진,눈이 오잖아(Feat.헤이즈),한참 동안 눈이 왔잖아,기쁨
이무진,눈이 오잖아(Feat.헤이즈),주머니에 넣은 채,기쁨
이무진,눈이 오잖아(Feat.헤이즈),혹시 몰라 네가 좋아했던,기쁨
이무진,눈이 오잖아(Feat.헤이즈),생각에 잠기곤 해,불안
이무진,눈이 오잖아(Feat.헤이즈),지금 내가 생각나지,분노
이무진,눈이 오잖아(Feat.헤이즈),이 말 핑계인 걸 알지만,분노
이무진,눈이 오잖아(Feat.헤이즈),추울 때 따스히,기쁨
이무진,눈이 오잖아(Feat.헤이즈),네가 이젠 없으니까,분노
이무진,눈이 오잖아(Feat.헤이즈),안아줄 이가 없으니까,분노
이무진,눈이 오잖아(Feat.헤이즈),눈 내리는 소리,슬픔
이무진,눈이 오잖아(Feat.헤이즈),너와의 약속들을 되뇌었어,분노
이무진,눈이 오잖아(Feat.헤이즈),한 달 좀 덜 된 기억들,기쁨
이무진,눈이 오잖아(Feat.헤이즈),찬란한 그때의,기쁨
이무진,눈이 오잖아(Feat.헤이즈),마지막 안녕이 남은 거리에서 혼자,기쁨
이무진,눈이 오잖아(Feat.헤이즈),수많은 끝도 끝났어,불안
이무진,눈이 오잖아(Feat.헤이즈),눈이 오지만,슬픔
이무진,눈이 오잖아(Feat.헤이즈),걷고 있어 몇 시간을,분노
이무진,눈이 오잖아(Feat.헤이즈),거릴 거니는 내,불안
이무진,눈이 오잖아(Feat.헤이즈),눈이 오잖아,슬픔
이무진,눈이 오잖아(Feat.헤이즈),나온 번화가 그때 마침,슬픔
이무진,눈이 오잖아(Feat.헤이즈),친구들이 불러도,기쁨
이무진,눈이 오잖아(Feat.헤이즈),이제 인정하자,분노
이무진,눈이 오잖아(Feat.헤이즈),남아있는 건 없으니까,기쁨
이무진,눈이 오잖아(Feat.헤이즈),코트를 입은 채,불안
이무진,눈이 오잖아(Feat.헤이즈),우리 처음 만난 그 밤에도,기쁨
이무진,눈이 오잖아(Feat.헤이즈),함께여야 할 너 없는 이 겨울의,분노
이무진,눈이 오잖아(Feat.헤이즈),더 크게 들리네,분노
임영웅,우리들의 블루스,슬픔이 짙어질 때면 위로해 줄,기쁨
임영웅,우리들의 블루스,알게 되겠죠,분노
임영웅,우리들의 블루스,그 한 사람이 될게요,기쁨
임영웅,우리들의 블루스,폭풍 속에 혼자 남아 헤매도 오,기쁨
임영웅,우리들의 블루스,잊지 말아요,기쁨
임영웅,우리들의 블루스,그대 부디 울지 말아요,기쁨
임영웅,우리들의 블루스,눈물이 날 때면,슬픔
임영웅,우리들의 블루스,아프지 말아요 쓸쓸한 마음에,슬픔
임영웅,우리들의 블루스,외롭고 지칠 때 손잡아 줄게요,기쁨
임영웅,우리들의 블루스,작은 행복까지 모두,불안
임영웅,우리들의 블루스,슬퍼 말아요,기쁨
임영웅,우리들의 블루스,그땐 미소 짓겠죠,기쁨
임영웅,우리들의 블루스,길이 되어 지킬게요 그대,기쁨
임영웅,우리들의 블루스,그땐 웃을 수 있죠 나 약속할게요,기쁨
임영웅,우리들의 블루스,언젠가 우리 시간 지나면,기쁨
임영웅,우리들의 블루스,내가 곁에 있을게요,기쁨
임영웅,우리들의 블루스,그대에게 빛이 될게요,기쁨
임영웅,우리들의 블루스,그대 뒤를 돌아보면 돼요,기쁨
임영웅,우리들의 블루스,그댈 위해 노래할게요,기쁨
임영웅,우리들의 블루스,그대의 빛이 될게요,기쁨
임영웅,우리들의 블루스,잊지는 말아요 함께 했던 날들,기쁨
임영웅,우리들의 블루스,그댈 위해 약속할게요,기쁨
임영웅,우리들의 블루스,어두운 길을 밝게 비추는,상처
임영웅,우리들의 블루스,힘든 일이 참 많았죠 그대에겐,기쁨
MSG워너비(M.O.M),바라만 본다,내가 볼 수 있게,기쁨
MSG워너비(M.O.M),바라만 본다,어제보다 더 내일 더 널 사랑해,상처
MSG워너비(M.O.M),바라만 본다,둔한 바보도 눈치챌 그 사랑을,기쁨
MSG워너비(M.O.M),바라만 본다,바보 같은 맘에 하지 못한 그 한마디,기쁨
MSG워너비(M.O.M),바라만 본다,울컥 그리움이 솟는다,분노
MSG워너비(M.O.M),바라만 본다,한 사람을 다 가졌으니까,기쁨
MSG워너비(M.O.M),바라만 본다,외쳐 네 이름만 부른다,기쁨
MSG워너비(M.O.M),바라만 본다,보고 싶은 맘에 너를 향한 그 발걸음,분노
MSG워너비(M.O.M),바라만 본다,내가 너라면 다 알아볼 텐데,기쁨
MSG워너비(M.O.M),바라만 본다,네가 나라면 더 참 아팠을 텐데,분노
MSG워너비(M.O.M),바라만 본다,그저 멀리서만 바라보다 또 소리쳐,기쁨
MSG워너비(M.O.M),바라만 본다,그저 멀리서만 바라보다,기쁨
MSG워너비(M.O.M),바라만 본다,너만 왜 모르니,분노
MSG워너비(M.O.M),바라만 본다,매일 하루 종일 너의 생각에 사무쳐,기쁨
MSG워너비(M.O.M),바라만 본다,네 곁을 맴도는데,분노
MSG워너비(M.O.M),바라만 본다,널 사랑한다는 말,기쁨
MSG워너비(M.O.M),바라만 본다,웃는 모습만 보이며 살아가 줘,기쁨
MSG워너비(M.O.M),바라만 본다,너무 보고 싶다,분노
MSG워너비(M.O.M),바라만 본다,내가 너였다면 참 행복할 텐데,기쁨
MSG워너비(M.O.M),바라만 본다,슬픈 역할은 내가 맡을게,기쁨
MSG워너비(M.O.M),바라만 본다,지난 오랜 시간 너의 그 곁을,분노
MSG워너비(M.O.M),바라만 본다,내 맘 너의 곁에 닿게 될까,기쁨
MSG워너비(M.O.M),바라만 본다,오늘도 그리고 그리워하다,슬픔
MSG워너비(M.O.M),바라만 본다,더 가까이 네게 갈까,분노
MSG워너비(M.O.M),바라만 본다,혼자 바라고 바라만 보다,기쁨
MSG워너비(M.O.M),바라만 본다,애써 참았던 눈물이 흘러,기쁨
MSG워너비(M.O.M),바라만 본다,얼마나 그리고 그리워해야,상처
MSG워너비(M.O.M),바라만 본다,지켜온 나라는 걸,분노
MSG워너비(M.O.M),바라만 본다,한 걸음 더 다가갈까,기쁨
MSG워너비(M.O.M),바라만 본다,너를 바라만 바라만 본다,분노
MSG워너비(M.O.M),바라만 본다,널 위할 사람 찾아낼 텐데,기쁨
MSG워너비(M.O.M),바라만 본다,또 소리쳐 네가 보고 싶다,슬픔
MSG워너비(M.O.M),바라만 본다,네가 보고 싶다,분노
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",사랑이라는 이유로,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",적막 짙은 도로 위에 걸음을 포갠다,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",주마등이 길을 비춘 먼 곳을 본다,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",한 발 한 발 이별에 가까워질수록,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",난 널 떠날 수 없단 걸,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",다 마를 때까지,불안
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",내가 없이 혼자 걷는 널 바라본다,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",흑백 거리 가운데 넌 뒤돌아본다,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",아무 말 없는 대화 나누며,슬픔
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",두세 번 더 길을 돌아갈까,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",너와 맞잡은 손이 사라지는 것 같죠,분노
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",그때 알게 되었어,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",어떻게 이별까지 사랑하겠어,상처
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",기다리는 게 이별일 텐데,슬픔
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",이별보단 버틸 수 있는 것들이었죠,분노
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",이후에 우리 바다처럼 깊은 사랑이,분노
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",찢어질 것같이 아파할 수 없어 난,분노
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",일부러 몇 발자국 물러나,슬픔
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",널 사랑하는 거지,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",서로를 포기하고,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",우리 사이에 그 어떤 힘든 일도,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",난 더 갈 수 없단 걸,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",옆자리 허전한 너의 풍경,기쁨
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",어떻게 내가 어떻게 너를,상처
임영웅,다시 만날 수 있을까,시린 폭포처럼,기쁨
임영웅,다시 만날 수 있을까,너에게 닿을 때,분노
임영웅,다시 만날 수 있을까,서로를 품에 안고서,기쁨
